State,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000,total_test,totalTestResults,State of emergency,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses statewide,Mandate face mask use by employees in public-facing businesses,Weekly unemployment insurance maximum amount (dollars),Population density per square miles,Population 2018,Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Rhode Island,16991,960,90.8,330,1607,238520,250954,3/9/2020,3/28/2020,5/9/2020,3/30/2020,5/9/2020,4/18/2020,190,684.35,1057315,12.9,38.3,10083,0.2,0.09,0.13,0.26,0.15,0.17
South Carolina,44847,820,16.1,12908,882.1,369305,430809,3/13/2020,4/7/2020,5/4/2020,4/1/2020,4/20/2020,0,326,158.78,5084127,15.3,41.4,50640,0.23,0.09,0.11,0.25,0.14,0.18
South Dakota,7063,97,11,437,800.6,79457,84003,3/13/2020,0,0,0,0,0,414,11.44,882235,13.1,35.3,7971,0.26,0.09,0.11,0.24,0.14,0.16
Tennessee,51431,646,9.5,11259,759.7,777206,896166,3/12/2020,4/2/2020,5/1/2020,4/1/2020,5/1/2020,0,275,160.64,6770010,15.3,41.6,71078,0.24,0.09,0.12,0.26,0.13,0.16
Texas,195239,2637,9.2,51868,680.2,1819189,2133457,3/13/2020,0,0,3/31/2020,5/1/2020,5/8/2020,521,106.86,28701845,14.9,34.8,202211,0.27,0.09,0.13,0.26,0.11,0.13
Utah,25500,185,5.9,4514,806.7,333905,371308,3/6/2020,0,0,0,5/1/2020,4/10/2020,580,37.23,3161105,9,30,18354,0.31,0.11,0.13,0.24,0.1,0.11
Vermont,1251,56,8.9,51,199.7,64993,70024,3/13/2020,3/25/2020,5/15/2020,3/25/2020,4/27/2020,4/17/2020,513,65.13,626299,11,39.1,6027,0.19,0.08,0.11,0.25,0.16,0.2
Virginia,66102,1853,21.8,4366,776.1,636633,709355,3/12/2020,3/30/2020,5/29/2020,0,5/29/2020,5/29/2020,378,199.13,8517685,10.7,35.9,69359,0.24,0.09,0.12,0.26,0.13,0.16
Washington,35898,1359,18,4494,476.4,534443,607276,2/29/2020,3/23/2020,6/1/2020,3/25/2020,5/5/2020,5/4/2020,790,105.69,7535591,10.3,35.1,56877,0.23,0.08,0.14,0.26,0.13,0.16
West Virginia,3335,95,5.3,553,184.7,169655,184821,3/16/2020,3/24/2020,5/4/2020,3/24/2020,5/4/2020,5/4/2020,424,74.53,1805832,17.8,49.3,23478,0.21,0.08,0.11,0.25,0.15,0.2
Wisconsin,34740,803,13.8,4513,597.6,558550,618851,3/12/2020,3/25/2020,5/13/2020,3/25/2020,5/11/2020,0,370,88.76,5813568,11,36.5,53684,0.23,0.09,0.11,0.26,0.14,0.17
Wyoming,1634,20,3.5,242,282.8,31856,35327,3/13/2020,0,0,0,5/1/2020,5/1/2020,508,5.91,577737,11.1,36.4,5070,0.24,0.08,0.12,0.24,0.14,0.17
